taxi_driver,trips,duration_average
100,2,684.0
696,1,697.0
1213,2,666.0
746,27,886.8148148148148
594,158,970.5632911392405
493,1,1076.0
448,3,827.3333333333334
567,41,919.0975609756098
239,1,322.0
38,7,745.7142857142857
458,12,801.4166666666666
462,27,1134.5555555555557
300,8,823.875
682,19,821.3684210526316
61,43,911.0232558139535
276,38,957.7894736842105
181,3,902.3333333333334
44,11,912.2727272727273
451,2,1038.0
855,11,1071.090909090909
60,5,900.4
418,34,925.0294117647059
310,1,245.0
501,42,988.4761904761905
207,2,917.0
304,15,1124.2
309,2,486.5
754,6,966.5
286,24,840.625
662,3,884.0
771,1,1548.0
539,2,1245.0
762,78,821.7820512820513
106,1,431.0
992,20,800.55
227,14,1262.5
994,7,700.5714285714286
316,36,802.0555555555555
332,3,1000.0
616,16,954.75
983,2,871.0
647,12,1144.5
657,1,336.0
905,28,914.75
367,8,1238.625
1034,65,1027.9384615384615
599,14,901.2142857142857
802,1,849.0
851,3,1037.6666666666667
1077,13,1092.5384615384614
267,19,909.5263157894736
584,11,1004.0909090909091
1033,17,910.2941176470588
393,3,1359.6666666666667
1136,23,898.1739130434783
1087,11,986.0
1121,1,486.0
612,3,1080.0
463,1,1015.0
342,1,319.0
283,5,1000.8
1171,2,782.0
1185,2,1177.5
951,1,1035.0
1188,10,657.9
1057,2,1076.5
593,7,770.8571428571429
1164,3,939.3333333333334
1197,10,1054.9
148,2,1322.5
570,1,920.0
800,2,874.5
1211,1,925.0
33,2,471.0
482,30,814.9333333333333
167,31,897.6129032258065
517,8,966.0
387,15,1017.9333333333333
245,6,740.5
822,14,937.8571428571429
744,2,600.0
869,29,828.7931034482758
195,38,958.6052631578947
35,12,874.0833333333334
126,18,758.7222222222222
43,5,1156.4
189,70,915.4714285714285
745,5,910.4
36,16,828.5625
21,26,774.9230769230769
252,1,1007.0
168,27,888.5555555555555
799,69,923.0434782608696
731,30,1008.0
667,4,645.0
187,11,965.0
294,39,1059.1538461538462
237,22,736.3181818181819
7,3,1152.0
328,15,848.9333333333333
166,20,888.4
873,10,1002.4
590,2,689.0
777,8,789.5
14,10,1274.5
638,10,666.6
345,9,841.1111111111111
306,14,969.0
520,3,676.6666666666666
868,19,885.3157894736842
691,7,699.0
926,3,607.6666666666666
649,6,1071.6666666666667
564,1,594.0
19,12,908.4166666666666
1003,7,1090.5714285714287
557,1,553.0
637,38,973.8684210526316
615,70,854.4
80,1,403.0
895,24,1214.1666666666667
404,18,823.8888888888889
254,26,918.0769230769231
1058,1,735.0
45,4,1008.75
368,4,721.25
847,9,1084.0
1054,10,1236.9
1048,14,759.8571428571429
349,4,935.75
573,2,605.5
1076,10,856.0
69,1,573.0
159,1,435.0
1102,11,923.2727272727273
263,2,695.5
1127,2,1241.5
388,4,1036.25
1092,1,1256.0
116,31,942.483870967742
510,10,893.2
698,18,802.6111111111111
572,7,1263.142857142857
67,4,1033.5
1159,3,943.3333333333334
374,3,761.3333333333334
582,1,811.0
989,7,1057.857142857143
415,3,397.6666666666667
995,4,424.25
151,2,1748.5
546,1,561.0
1195,1,415.0
1209,1,1060.0
730,1,799.0
88,23,812.0869565217391
785,14,843.7142857142857
258,62,879.5
518,50,1008.34
288,16,838.4375
878,66,806.1363636363636
854,22,988.0909090909091
804,25,1123.64
867,27,1002.0
456,4,1624.0
717,44,802.75
914,10,1070.9
105,142,990.2394366197183
398,18,1096.111111111111
552,14,892.2857142857143
891,65,873.5230769230769
540,1,464.0
6,87,962.4252873563219
138,4,1309.5
11,16,940.375
617,10,1036.4
214,15,874.3333333333334
51,1,1472.0
903,2,835.0
453,1,373.0
711,1,153.0
16,14,876.0
598,1,261.0
537,6,755.5
633,2,1474.0
338,4,887.0
265,4,1330.0
23,8,961.0
173,30,972.7
436,2,859.0
123,12,1053.6666666666667
816,31,957.6129032258065
491,1,1655.0
652,2,787.0
1002,9,1063.0
1010,14,1059.0
208,7,918.5714285714286
827,5,952.0
577,1,357.0
738,1,952.0
645,10,797.8
1065,3,872.6666666666666
279,28,1016.5357142857143
247,3,693.3333333333334
486,4,988.75
1095,50,901.22
1089,3,332.3333333333333
1094,33,917.5454545454545
314,29,843.551724137931
1099,3,149.33333333333334
729,4,1002.5
1104,7,863.2857142857143
972,1,549.0
1070,4,1188.75
132,25,992.52
1036,1,935.0
507,8,1032.75
1085,2,1256.0
1110,13,851.3076923076923
1091,9,879.3333333333334
425,2,1320.5
643,2,1462.0
630,9,1064.111111111111
841,1,712.0
1141,4,909.25
984,3,786.3333333333334
416,1,788.0
242,2,747.5
551,3,1407.3333333333333
303,1,708.0
886,1,1316.0
172,1,1013.0
695,23,1039.0869565217392
664,158,942.5759493670886
885,10,686.5
862,2,1485.0
538,1,1717.0
753,8,744.375
437,84,1028.095238095238
502,39,978.6153846153846
834,14,1021.2857142857143
313,46,814.3478260869565
925,24,1173.5416666666667
460,57,932.0701754385965
184,17,1025.0
672,21,1003.952380952381
289,91,806.3406593406594
312,5,591.8
141,8,1159.125
931,28,906.9642857142857
732,4,927.5
756,39,1046.3076923076924
413,14,1119.0
663,1,1051.0
266,3,701.6666666666666
114,40,902.3
160,7,845.2857142857143
194,3,690.3333333333334
516,35,982.4571428571429
308,30,993.2666666666667
969,12,967.75
444,21,740.3809523809524
980,55,951.2363636363636
977,30,1014.6333333333333
250,1,454.0
620,12,969.0833333333334
963,5,847.4
935,2,592.0
858,18,736.0
282,27,1107.0
742,2,937.0
162,3,1050.3333333333333
708,16,907.625
1006,14,875.9285714285714
987,6,781.8333333333334
734,18,956.1666666666666
490,5,980.0
244,2,1116.0
1041,10,829.3
1069,1,320.0
110,6,1316.3333333333333
468,9,857.6666666666666
1042,13,1262.3076923076924
1090,32,1029.09375
1106,14,816.7857142857143
1111,2,448.0
562,15,764.7333333333333
1119,1,795.0
1112,9,969.5555555555555
219,27,927.4444444444445
251,14,881.6428571428571
909,1,604.0
985,1,1089.0
1148,1,426.0
789,11,1015.4545454545455
772,2,935.0
50,2,975.0
1107,10,1177.3
1176,1,704.0
1190,6,883.6666666666666
178,5,1079.8
124,1,822.0
355,1,783.0
1206,2,829.5
1205,3,545.0
1133,1,651.0
241,2,561.5
1173,3,977.3333333333334
122,49,871.4285714285714
883,166,954.222891566265
625,45,898.4888888888889
457,21,884.1428571428571
119,9,864.2222222222222
360,13,888.1538461538462
411,1,1236.0
576,59,948.2033898305085
56,2,953.5
92,4,1006.75
34,6,1450.6666666666667
465,19,885.421052631579
650,18,746.2777777777778
